        x        cos(x/2)^2  (cos(x/2)^2)'
        0.00     1.000000    -0.002500
        0.01     0.999975    -0.007500
        0.02     0.999900    -0.012499
        0.03     0.999775    -0.017496
        0.04     0.999600    -0.022492
        0.05     0.999375    -0.027486
        0.06     0.999100    -0.032477
        0.07     0.998776    -0.037465
        0.08     0.998401    -0.042449
        0.09     0.997976    -0.047428
        0.10     0.997502    -0.052403
        0.11     0.996978    -0.057373
        0.12     0.996404    -0.062337
        0.13     0.995781    -0.067295
        0.14     0.995108    -0.072246
        0.15     0.994386    -0.077190
        0.16     0.993614    -0.082126
        0.17     0.992792    -0.087054
        0.18     0.991922    -0.091973
        0.19     0.991002    -0.096883
        0.20     0.990033    -0.101783
        0.21     0.989015    -0.106673
        0.22     0.987949    -0.111553
        0.23     0.986833    -0.116421
        0.24     0.985669    -0.121278
        0.25     0.984456    -0.126122
        0.26     0.983195    -0.130954
        0.27     0.981885    -0.135773
        0.28     0.980528    -0.140578
        0.29     0.979122    -0.145369
        0.30     0.977668    -0.150146
        0.31     0.976167    -0.154907
        0.32     0.974618    -0.159654
        0.33     0.973021    -0.164384
        0.34     0.971377    -0.169097
        0.35     0.969686    -0.173794
        0.36     0.967948    -0.178474
        0.37     0.966164    -0.183135
        0.38     0.964332    -0.187779
        0.39     0.962455    -0.192403
        0.40     0.960531    -0.197008
        0.41     0.958560    -0.201594
        0.42     0.956544    -0.206159
        0.43     0.954483    -0.210704
        0.44     0.952376    -0.215228
        0.45     0.950224    -0.219730
        0.46     0.948026    -0.224210
        0.47     0.945784    -0.228668
        0.48     0.943498    -0.233103
        0.49     0.941166    -0.237515
        0.50     0.938791    -0.241903
        0.51     0.936372    -0.246266
        0.52     0.933910    -0.250605
        0.53     0.931404    -0.254919
        0.54     0.928854    -0.259208
        0.55     0.926262    -0.263470
        0.56     0.923628    -0.267706
        0.57     0.920951    -0.271916
        0.58     0.918231    -0.276098
        0.59     0.915470    -0.280253
        0.60     0.912668    -0.284379
        0.61     0.909824    -0.288478
        0.62     0.906939    -0.292547
        0.63     0.904014    -0.296587
        0.64     0.901048    -0.300598
        0.65     0.898042    -0.304578
        0.66     0.894996    -0.308528
        0.67     0.891911    -0.312447
        0.68     0.888786    -0.316335
        0.69     0.885623    -0.320191
        0.70     0.882421    -0.324015
        0.71     0.879181    -0.327807
        0.72     0.875903    -0.331566
        0.73     0.872587    -0.335292
        0.74     0.869234    -0.338984
        0.75     0.865845    -0.342642
        0.76     0.862418    -0.346267
        0.77     0.858955    -0.349856
        0.78     0.855457    -0.353411
        0.79     0.851923    -0.356930
        0.80     0.848354    -0.360413
        0.81     0.844749    -0.363861
        0.82     0.841111    -0.367272
        0.83     0.837438    -0.370646
        0.84     0.833732    -0.373983
        0.85     0.829992    -0.377283
        0.86     0.826219    -0.380546
        0.87     0.822413    -0.383770
        0.88     0.818576    -0.386955
        0.89     0.814706    -0.390102
        0.90     0.810805    -0.393210
        0.91     0.806873    -0.396279
        0.92     0.802910    -0.399308
        0.93     0.798917    -0.402297
        0.94     0.794894    -0.405246
        0.95     0.790842    -0.408155
        0.96     0.786760    -0.411022
        0.97     0.782650    -0.413849
        0.98     0.778512    -0.416634
        0.99     0.774345    -0.419377
        1.00     0.770151    -0.422081
        1.01     0.765931    -0.424738
        1.02     0.761683    -0.427355
        1.03     0.757410    -0.429929
        1.04     0.753110    -0.432460
        1.05     0.748786    -0.434948
        1.06     0.744436    -0.437392
        1.07     0.740062    -0.439793
        1.08     0.735664    -0.442149
        1.09     0.731243    -0.444462
        1.10     0.726798    -0.446730
        1.11     0.722331    -0.448953
        1.12     0.717842    -0.451131
        1.13     0.713330    -0.453265
        1.14     0.708798    -0.455353
        1.15     0.704244    -0.457395
        1.16     0.699670    -0.459392
        1.17     0.695076    -0.461342
        1.18     0.690463    -0.463247
        1.19     0.685830    -0.465105
        1.20     0.681179    -0.466917
        1.21     0.676510    -0.468682
        1.22     0.671823    -0.470400
        1.23     0.667119    -0.472072
        1.24     0.662399    -0.473696
        1.25     0.657662    -0.475272
        1.26     0.652909    -0.476801
        1.27     0.648141    -0.478283
        1.28     0.643358    -0.479716
        1.29     0.638561    -0.481102
        1.30     0.633750    -0.482439
